Entity,Code,Year,Individuals using the Internet (% of population),time
Trinidad and Tobago,,,79,2021
Tunisia,,,78.989655,2021
Turkey,TUR,2022,83.437164,2022
Turkmenistan,,,21.250998,2017
Tuvalu,,,71.58658,2021
Uganda,,,10.342421,2021
Ukraine,,,79.21829,2021
United Arab Emirates,ARE,2022,100,2022
United Kingdom,,,96.68024,2021
United States,,,91.75321,2021
Uruguay,URY,2022,89.87305,2022
Uzbekistan,,,76.59043,2021
Vanuatu,,,66.33567,2021
Venezuela,,,61.6,2017
Vietnam,VNM,2022,78.59,2022
Yemen,,,26.718355,2017
Zambia,,,21.231531,2021
Zimbabwe,,,34.813972,2021
